decision_id,shipment_id,incident_id,decision_ts,decision_type,recommended_action,decision_status,decided_by,confidence_score,decision_reason,action_taken,outcome,created_at
1,1,,2026-03-07T19:31:02+00:00,delay_risk,Monitor shipment and prepare proactive notification if delay increases.,executed,rules_engine,0.5969,Synthetic decision generated from delay=137 minutes and incident flag=False.,Monitor shipment and prepare proactive notification if delay increases.,delay_reduced,2026-03-08T04:31:02+00:00
2,2,,2025-05-27T00:15:59+00:00,route_change,Review route/carrier and notify customer about expected delay.,recommended,rules_engine,0.718,Synthetic decision generated from delay=287 minutes and incident flag=False.,No action taken.,pending_review,2025-05-27T08:15:59+00:00
3,12,1,2025-05-22T07:12:06+00:00,incident_escalation,Escalate incident to operations supervisor and notify customer service.,executed,human_operator,0.8982,Synthetic decision generated from delay=0 minutes and incident flag=True.,Escalate incident to operations supervisor and notify customer service.,delay_reduced,2025-05-22T10:12:06+00:00
4,17,,2025-08-24T08:38:46+00:00,delay_risk,Monitor shipment and prepare proactive notification if delay increases.,recommended,rules_engine,0.8192,Synthetic decision generated from delay=150 minutes and incident flag=False.,No action taken.,customer_notified,2025-08-24T16:38:46+00:00
5,22,,2025-10-09T12:19:49+00:00,route_change,Review route/carrier and notify customer about expected delay.,executed,human_operator,0.6002,Synthetic decision generated from delay=205 minutes and incident flag=False.,Review route/carrier and notify customer about expected delay.,pending_review,2025-10-09T22:19:49+00:00
6,25,,2025-10-09T02:49:10+00:00,customer_notification,Review route/carrier and notify customer about expected delay.,accepted,human_operator,0.7425,Synthetic decision generated from delay=252 minutes and incident flag=False.,Review route/carrier and notify customer about expected delay.,incident_resolved,2025-10-09T05:49:10+00:00
7,40,,2025-10-31T11:00:09+00:00,delay_risk,Monitor shipment and prepare proactive notification if delay increases.,executed,human_operator,0.8713,Synthetic decision generated from delay=109 minutes and incident flag=False.,Monitor shipment and prepare proactive notification if delay increases.,customer_notified,2025-10-31T18:00:09+00:00
8,43,,2025-12-20T05:15:56+00:00,carrier_change,Review route/carrier and notify customer about expected delay.,rejected,rules_engine,0.9683,Synthetic decision generated from delay=204 minutes and incident flag=False.,No action taken.,pending_review,2025-12-20T09:15:56+00:00
9,44,2,2025-10-26T05:30:56+00:00,incident_escalation,Escalate incident to operations supervisor and notify customer service.,executed,human_operator,0.8303,Synthetic decision generated from delay=128 minutes and incident flag=True.,Escalate incident to operations supervisor and notify customer service.,no_change,2025-10-26T06:30:56+00:00
10,49,,2026-01-17T17:57:10+00:00,delay_risk,Monitor shipment and prepare proactive notification if delay increases.,accepted,ai_agent,0.8861,Synthetic decision generated from delay=122 minutes and incident flag=False.,Monitor shipment and prepare proactive notification if delay increases.,no_change,2026-01-17T21:57:10+00:00
11,50,,2026-03-27T01:54:40+00:00,delay_risk,Monitor shipment and prepare proactive notification if delay increases.,accepted,human_operator,0.928,Synthetic decision generated from delay=171 minutes and incident flag=False.,Monitor shipment and prepare proactive notification if delay increases.,no_change,2026-03-27T09:54:40+00:00
12,51,3,2026-04-24T02:42:02+00:00,incident_escalation,Escalate incident to operations supervisor and notify customer service.,rejected,human_operator,0.8945,Synthetic decision generated from delay=0 minutes and incident flag=True.,No action taken.,no_change,2026-04-24T10:42:02+00:00
13,60,,2026-03-31T22:52:38+00:00,delay_risk,Monitor shipment and prepare proactive notification if delay increases.,executed,ai_agent,0.7281,Synthetic decision generated from delay=172 minutes and incident flag=False.,Monitor shipment and prepare proactive notification if delay increases.,pending_review,2026-04-01T03:52:38+00:00
14,61,,2025-11-20T11:11:34+00:00,delay_risk,Monitor shipment and prepare proactive notification if delay increases.,recommended,human_operator,0.8046,Synthetic decision generated from delay=0 minutes and incident flag=False.,No action taken.,pending_review,2025-11-20T15:11:34+00:00
15,62,4,2025-09-21T13:04:54+00:00,incident_escalation,Escalate incident to operations supervisor and notify customer service.,rejected,human_operator,0.6188,Synthetic decision generated from delay=0 minutes and incident flag=True.,No action taken.,delay_reduced,2025-09-21T17:04:54+00:00
16,64,5,2025-09-01T05:53:56+00:00,incident_escalation,Escalate incident to operations supervisor and notify customer service.,executed,human_operator,0.9317,Synthetic decision generated from delay=0 minutes and incident flag=True.,Escalate incident to operations supervisor and notify customer service.,incident_resolved,2025-09-01T11:53:56+00:00
17,70,6,2025-02-03T21:01:30+00:00,incident_escalation,Escalate incident to operations supervisor and notify customer service.,recommended,human_operator,0.5846,Synthetic decision generated from delay=0 minutes and incident flag=True.,No action taken.,no_change,2025-02-04T08:01:30+00:00
18,75,7,2025-11-21T18:51:23+00:00,incident_escalation,Escalate incident to operations supervisor and notify customer service.,executed,ai_agent,0.7025,Synthetic decision generated from delay=0 minutes and incident flag=True.,Escalate incident to operations supervisor and notify customer service.,no_change,2025-11-22T05:51:23+00:00
