document_id,shipment_id,order_id,incident_id,document_type,document_date,storage_path,file_format,language_code,extracted_text,created_at
1,1,1,,delivery_note,2026-03-09T12:19:38+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=1/1.docx,docx,de,"Synthetic delivery_note for shipment 1. Carrier, delivery status and operational notes are available for analysis.",2026-03-07T10:19:38+00:00
2,1,1,,proof_of_delivery,2026-03-10T07:19:38+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=1/2.pdf,pdf,fr,"Synthetic proof_of_delivery for shipment 1. Carrier, delivery status and operational notes are available for analysis.",2026-03-07T10:19:38+00:00
3,1,1,,invoice,2026-03-08T19:19:38+00:00,s3://logistics-book-lab/documents/invoice/shipment_id=1/3.pdf,pdf,it,"Synthetic invoice for shipment 1. Carrier, delivery status and operational notes are available for analysis.",2026-03-07T10:19:38+00:00
4,2,2,,delivery_note,2025-05-29T07:39:59+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=2/4.docx,docx,en,"Synthetic delivery_note for shipment 2. Carrier, delivery status and operational notes are available for analysis.",2025-05-25T11:39:59+00:00
5,2,2,,proof_of_delivery,2025-05-26T14:39:59+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=2/5.pdf,pdf,de,"Synthetic proof_of_delivery for shipment 2. Carrier, delivery status and operational notes are available for analysis.",2025-05-25T11:39:59+00:00
6,2,2,,invoice,2025-05-29T06:39:59+00:00,s3://logistics-book-lab/documents/invoice/shipment_id=2/6.pdf,pdf,es,"Synthetic invoice for shipment 2. Carrier, delivery status and operational notes are available for analysis.",2025-05-25T11:39:59+00:00
7,3,3,,delivery_note,2025-02-13T11:11:29+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=3/7.docx,docx,es,"Synthetic delivery_note for shipment 3. Carrier, delivery status and operational notes are available for analysis.",2025-02-11T07:11:29+00:00
8,3,3,,proof_of_delivery,2025-02-13T18:11:29+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=3/8.txt,txt,de,"Synthetic proof_of_delivery for shipment 3. Carrier, delivery status and operational notes are available for analysis.",2025-02-11T07:11:29+00:00
9,4,4,,delivery_note,2025-03-06T00:41:16+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=4/9.txt,txt,en,"Synthetic delivery_note for shipment 4. Carrier, delivery status and operational notes are available for analysis.",2025-03-05T21:41:16+00:00
10,4,4,,proof_of_delivery,2025-03-09T13:41:16+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=4/10.pdf,pdf,de,"Synthetic proof_of_delivery for shipment 4. Carrier, delivery status and operational notes are available for analysis.",2025-03-05T21:41:16+00:00
11,4,4,,invoice,2025-03-08T14:41:16+00:00,s3://logistics-book-lab/documents/invoice/shipment_id=4/11.txt,txt,es,"Synthetic invoice for shipment 4. Carrier, delivery status and operational notes are available for analysis.",2025-03-05T21:41:16+00:00
12,5,5,,delivery_note,2025-12-10T21:55:10+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=5/12.docx,docx,de,"Synthetic delivery_note for shipment 5. Carrier, delivery status and operational notes are available for analysis.",2025-12-09T01:55:10+00:00
13,5,5,,proof_of_delivery,2025-12-10T10:55:10+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=5/13.docx,docx,fr,"Synthetic proof_of_delivery for shipment 5. Carrier, delivery status and operational notes are available for analysis.",2025-12-09T01:55:10+00:00
14,6,6,,delivery_note,2026-02-13T08:15:33+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=6/14.txt,txt,de,"Synthetic delivery_note for shipment 6. Carrier, delivery status and operational notes are available for analysis.",2026-02-12T16:15:33+00:00
15,6,6,,proof_of_delivery,2026-02-12T23:15:33+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=6/15.pdf,pdf,it,"Synthetic proof_of_delivery for shipment 6. Carrier, delivery status and operational notes are available for analysis.",2026-02-12T16:15:33+00:00
16,6,6,,invoice,2026-02-14T03:15:33+00:00,s3://logistics-book-lab/documents/invoice/shipment_id=6/16.pdf,pdf,fr,"Synthetic invoice for shipment 6. Carrier, delivery status and operational notes are available for analysis.",2026-02-12T16:15:33+00:00
17,7,7,,delivery_note,2025-03-02T10:32:40+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=7/17.pdf,pdf,en,"Synthetic delivery_note for shipment 7. Carrier, delivery status and operational notes are available for analysis.",2025-03-02T06:32:40+00:00
18,8,8,,delivery_note,2025-08-07T09:03:05+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=8/18.txt,txt,es,"Synthetic delivery_note for shipment 8. Carrier, delivery status and operational notes are available for analysis.",2025-08-03T14:03:05+00:00
19,9,9,,delivery_note,2026-03-01T21:19:56+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=9/19.docx,docx,fr,"Synthetic delivery_note for shipment 9. Carrier, delivery status and operational notes are available for analysis.",2026-02-28T03:19:56+00:00
20,9,9,,invoice,2026-03-01T03:19:56+00:00,s3://logistics-book-lab/documents/invoice/shipment_id=9/20.docx,docx,fr,"Synthetic invoice for shipment 9. Carrier, delivery status and operational notes are available for analysis.",2026-02-28T03:19:56+00:00
21,10,10,,delivery_note,2025-01-03T18:53:00+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=10/21.html,html,es,"Synthetic delivery_note for shipment 10. Carrier, delivery status and operational notes are available for analysis.",2025-01-03T04:53:00+00:00
22,10,10,,proof_of_delivery,2025-01-04T06:53:00+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=10/22.txt,txt,fr,"Synthetic proof_of_delivery for shipment 10. Carrier, delivery status and operational notes are available for analysis.",2025-01-03T04:53:00+00:00
23,10,10,,invoice,2025-01-03T09:53:00+00:00,s3://logistics-book-lab/documents/invoice/shipment_id=10/23.pdf,pdf,de,"Synthetic invoice for shipment 10. Carrier, delivery status and operational notes are available for analysis.",2025-01-03T04:53:00+00:00
24,11,11,,delivery_note,2025-12-15T01:13:54+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=11/24.txt,txt,es,"Synthetic delivery_note for shipment 11. Carrier, delivery status and operational notes are available for analysis.",2025-12-13T10:13:54+00:00
25,11,11,,proof_of_delivery,2025-12-14T11:13:54+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=11/25.pdf,pdf,en,"Synthetic proof_of_delivery for shipment 11. Carrier, delivery status and operational notes are available for analysis.",2025-12-13T10:13:54+00:00
26,11,11,,invoice,2025-12-14T15:13:54+00:00,s3://logistics-book-lab/documents/invoice/shipment_id=11/26.html,html,fr,"Synthetic invoice for shipment 11. Carrier, delivery status and operational notes are available for analysis.",2025-12-13T10:13:54+00:00
27,12,12,,delivery_note,2025-05-23T22:28:54+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=12/27.pdf,pdf,es,"Synthetic delivery_note for shipment 12. Carrier, delivery status and operational notes are available for analysis.",2025-05-21T17:28:54+00:00
28,12,12,,proof_of_delivery,2025-05-24T11:28:54+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=12/28.docx,docx,de,"Synthetic proof_of_delivery for shipment 12. Carrier, delivery status and operational notes are available for analysis.",2025-05-21T17:28:54+00:00
29,12,12,1,incident_email,2025-05-23T00:28:54+00:00,s3://logistics-book-lab/documents/incident_email/shipment_id=12/29.pdf,pdf,es,"Synthetic incident_email for shipment 12. Carrier, delivery status and operational notes are available for analysis.",2025-05-21T17:28:54+00:00
30,13,13,,delivery_note,2025-01-23T23:20:38+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=13/30.txt,txt,it,"Synthetic delivery_note for shipment 13. Carrier, delivery status and operational notes are available for analysis.",2025-01-20T09:20:38+00:00
31,13,13,,invoice,2025-01-22T16:20:38+00:00,s3://logistics-book-lab/documents/invoice/shipment_id=13/31.pdf,pdf,en,"Synthetic invoice for shipment 13. Carrier, delivery status and operational notes are available for analysis.",2025-01-20T09:20:38+00:00
32,14,14,,delivery_note,2025-09-04T03:06:06+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=14/32.pdf,pdf,es,"Synthetic delivery_note for shipment 14. Carrier, delivery status and operational notes are available for analysis.",2025-09-03T19:06:06+00:00
33,14,14,,proof_of_delivery,2025-09-04T23:06:06+00:00,s3://logistics-book-lab/documents/proof_of_delivery/shipment_id=14/33.pdf,pdf,en,"Synthetic proof_of_delivery for shipment 14. Carrier, delivery status and operational notes are available for analysis.",2025-09-03T19:06:06+00:00
34,15,15,,delivery_note,2025-06-03T01:50:51+00:00,s3://logistics-book-lab/documents/delivery_note/shipment_id=15/34.docx,docx,es,"Synthetic delivery_note for shipment 15. Carrier, delivery status and operational notes are available for analysis.",2025-06-02T14:50:51+00:00
